,speech_number,type,position,sentiment_blob
7,29,Great Speech,7,0.09336580086580087
8,29,Great Speech,8,0.02433862433862434
9,29,Great Speech,9,0.1688311688311688
0,30,Great Speech,0,0.6083333333333334
1,30,Great Speech,1,0.20500000000000002
2,30,Great Speech,2,0.1752020202020202
3,30,Great Speech,3,0.4625
4,30,Great Speech,4,0.2436363636363636
5,30,Great Speech,5,0.07727272727272726
6,30,Great Speech,6,0.4132231404958677
7,30,Great Speech,7,0.3535037878787879
8,30,Great Speech,8,0.10909090909090911
9,30,Great Speech,9,0.2698484848484848
0,31,Great Speech,0,0.0
1,31,Great Speech,1,0.12195767195767197
2,31,Great Speech,2,-0.041041666666666664
3,31,Great Speech,3,0.07333333333333333
4,31,Great Speech,4,0.2248961038961039
5,31,Great Speech,5,0.22890812890812887
6,31,Great Speech,6,0.14907407407407408
7,31,Great Speech,7,0.19166666666666665
8,31,Great Speech,8,0.15958333333333335
9,31,Great Speech,9,0.06895833333333336
0,32,Great Speech,0,0.09487233445566777
1,32,Great Speech,1,-0.001783549783549785
2,32,Great Speech,2,0.17864583333333334
3,32,Great Speech,3,0.10754676870748302
4,32,Great Speech,4,0.18140575396825395
5,32,Great Speech,5,0.14754088504088503
6,32,Great Speech,6,0.10717457829526798
7,32,Great Speech,7,0.13889588744588746
8,32,Great Speech,8,0.1657010957792208
9,32,Great Speech,9,0.3807692307692308
0,33,Great Speech,0,0.7
1,33,Great Speech,1,0.5
2,33,Great Speech,2,-0.2104166666666667
3,33,Great Speech,3,-0.4
4,33,Great Speech,4,-0.025925925925925908
5,33,Great Speech,5,0.2786666666666667
6,33,Great Speech,6,0.7
7,33,Great Speech,7,0.06954978354978354
8,33,Great Speech,8,0.8
9,33,Great Speech,9,0.11305521522502654
0,34,Great Speech,0,0.21280701754385967
1,34,Great Speech,1,0.09762098021026591
2,34,Great Speech,2,-0.008333333333333335
3,34,Great Speech,3,0.1652738565782044
4,34,Great Speech,4,0.057692307692307696
5,34,Great Speech,5,-0.10535714285714283
6,34,Great Speech,6,-0.08210227272727273
7,34,Great Speech,7,0.08824148824148827
8,34,Great Speech,8,0.12641934046345812
9,34,Great Speech,9,0.1417114494700702
0,35,Great Speech,0,0.060511363636363655
1,35,Great Speech,1,0.024936868686868677
2,35,Great Speech,2,0.0011056166056166094
3,35,Great Speech,3,-0.050056818181818175
4,35,Great Speech,4,-0.1982638888888889
5,35,Great Speech,5,0.005615942028985506
6,35,Great Speech,6,0.17473958333333334
7,35,Great Speech,7,0.1458077528532074
8,35,Great Speech,8,0.23452380952380952
9,35,Great Speech,9,0.09583333333333334
0,36,Great Speech,0,0.17424242424242423
1,36,Great Speech,1,0.0469187675070028
2,36,Great Speech,2,-0.125
3,36,Great Speech,3,0.25336481700118063
4,36,Great Speech,4,0.011904761904761899
5,36,Great Speech,5,0.09351851851851853
6,36,Great Speech,6,0.1638257575757576
7,36,Great Speech,7,0.03040404040404039
8,36,Great Speech,8,0.23809523809523808
9,36,Great Speech,9,-0.5
0,37,Great Speech,0,0.4428571428571428
1,37,Great Speech,1,0.0
2,37,Great Speech,2,0.3333333333333333
3,37,Great Speech,3,0.4928571428571429
4,37,Great Speech,4,-0.18333333333333335
5,37,Great Speech,5,0.3458333333333334
6,37,Great Speech,6,-0.09999999999999999
7,37,Great Speech,7,0.20808080808080806
8,37,Great Speech,8,0.07083333333333333
9,37,Great Speech,9,0.20061891233766238
0,38,Great Speech,0,-0.04219924812030075
1,38,Great Speech,1,-0.2
2,38,Great Speech,2,0.14285714285714288
3,38,Great Speech,3,-0.3163265306122449
4,38,Great Speech,4,0.22519841269841268
5,38,Great Speech,5,-0.03668154761904762
6,38,Great Speech,6,0.12958333333333333
7,38,Great Speech,7,-0.17499999999999993
8,38,Great Speech,8,-0.09000000000000001
9,38,Great Speech,9,0.06047619047619049
0,39,Great Speech,0,0.09999999999999999
1,39,Great Speech,1,-0.016925351071692532
2,39,Great Speech,2,0.0
3,39,Great Speech,3,0.16666666666666666
4,39,Great Speech,4,0.12134920634920635
5,39,Great Speech,5,0.0
6,39,Great Speech,6,0.04545454545454545
7,39,Great Speech,7,0.16666666666666666
8,39,Great Speech,8,0.0
9,39,Great Speech,9,0.12283549783549784
0,40,Great Speech,0,-0.041666666666666664
1,40,Great Speech,1,0.10681818181818183
2,40,Great Speech,2,-0.12395833333333334
3,40,Great Speech,3,0.010294117647058829
4,40,Great Speech,4,0.25
5,40,Great Speech,5,0.15158730158730158
6,40,Great Speech,6,0.8
7,40,Great Speech,7,0.18942669172932333
8,40,Great Speech,8,0.06666666666666667
9,40,Great Speech,9,0.12892512077294688
0,41,Great Speech,0,0.37499999999999994
1,41,Great Speech,1,0.08772893772893774
2,41,Great Speech,2,0.525
3,41,Great Speech,3,0.78
4,41,Great Speech,4,0.44727272727272727
